RESULT_COUNT: 7694,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
AHL,AHL:UN,BBG000BFVP03,2018-09-04,41.1,41.2,41.05,41.1,4313023.0,0.0,1.0,41.1,41.2,41.05,41.1,4313023.0,1
AHPI,AHPI:UW,BBG000C2RMV9,2018-09-04,2.35,2.39,2.3481,2.35,2743.0,0.0,1.0,2.35,2.39,2.3481,2.35,2743.0,1
AHT,AHT:UN,BBG000PRZWN8,2018-09-04,6.49,6.53,6.39,6.41,391586.0,0.0,1.0,6.49,6.53,6.39,6.41,391586.0,1
AI,AI:UN,BBG000BD1649,2018-09-04,10.16,10.25,10.13,10.22,356361.0,0.0,1.0,10.16,10.25,10.13,10.22,356361.0,1
AIA,AIA:UW,BBG000TVYXT8,2018-09-04,62.45,62.45,62.12,62.36,207670.0,0.0,1.0,62.45,62.45,62.12,62.36,207670.0,1
AIF,AIF:UN,BBG003NQ4B92,2018-09-04,15.57,15.6,15.5099,15.56,62780.0,0.0,1.0,15.57,15.6,15.5099,15.56,62780.0,1
AIG,AIG:UN,BBG000BBF265,2018-09-04,52.77,53.48,52.74,53.37,3033891.0,0.0,1.0,52.77,53.48,52.74,53.37,3033891.0,1
AIMC,AIMC:UW,BBG000Q26VL8,2018-09-04,39.15,39.3999,38.3,38.65,1984423.0,0.0,1.0,39.15,39.3999,38.3,38.65,1984423.0,1
AIN,AIN:UN,BBG000BRWZ68,2018-09-04,76.85,77.1,75.6,76.8,263308.0,0.0,1.0,76.85,77.1,75.6,76.8,263308.0,1
AINC,AINC:UA,BBG0069GSFQ9,2018-09-04,92.27,93.8,91.94,93.8,5653.0,0.0,1.0,92.27,93.8,91.94,93.8,5653.0,1
AINV,AINV:UW,BBG000CBQ7G0,2018-09-04,5.53,5.57,5.51,5.51,420098.0,0.0,1.0,5.53,5.57,5.51,5.51,420098.0,1
AIR,AIR:UN,BBG000BBGS03,2018-09-04,46.66,46.66,45.81,46.2,212015.0,0.0,1.0,46.66,46.66,45.81,46.2,212015.0,1
AIRI,AIRI:UA,BBG000C8Z1D3,2018-09-04,1.4,1.4572,1.4,1.4,17641.0,0.0,1.0,1.4,1.4572,1.4,1.4,17641.0,1
AIRR,AIRR:UW,BBG0063G4G34,2018-09-04,28.16,28.16,27.77,27.86,16529.0,0.0,1.0,28.16,28.16,27.77,27.86,16529.0,1
